Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00       15     0.00     0.00  camlFormula_wl__compare_1047
  0.00      0.15     0.00        8     0.00     0.00  caml_enter_blocking_section
  0.00      0.15     0.00        8     0.00     0.00  caml_enter_blocking_section_default
  0.00      0.15     0.00        8     0.00     0.00  caml_leave_blocking_section
  0.00      0.15     0.00        8     0.00     0.00  caml_leave_blocking_section_default
  0.00      0.15     0.00        7     0.00     0.00  caml_darken_all_roots
  0.00      0.15     0.00        7     0.00     0.00  caml_do_local_roots
  0.00      0.15     0.00        7     0.00     0.00  caml_do_roots
  0.00      0.15     0.00        7     0.00     0.00  caml_final_do_strong_roots
  0.00      0.15     0.00        7     0.00     0.00  caml_fl_init_merge
  0.00      0.15     0.00        7     0.00     0.00  caml_scan_global_roots
  0.00      0.15     0.00        7     0.00     0.00  start_cycle
  0.00      0.15     0.00        6     0.00     0.00  caml_adjust_gc_speed
  0.00      0.15     0.00        6     0.00     0.00  caml_alloc_channel
  0.00      0.15     0.00        6     0.00     0.00  caml_alloc_custom
  0.00      0.15     0.00        6     0.00     0.00  caml_compact_heap_maybe
  0.00      0.15     0.00        6     0.00     0.00  caml_copy_double
  0.00      0.15     0.00        6     0.00     0.00  caml_final_update
  0.00      0.15     0.00        6     0.00     0.00  caml_int64_float_of_bits
  0.00      0.15     0.00        5     0.00     0.00  camlList__sort_1266
  0.00      0.15     0.00        5     0.00     1.38  camlParsing__grow_stacks_1061
  0.00      0.15     0.00        5     0.00     0.00  caml_aligned_malloc
  0.00      0.15     0.00        5     0.00     0.00  caml_copy_string
  0.00      0.15     0.00        4     0.00     0.00  caml_alloc_for_heap
  0.00      0.15     0.00        4     0.00     0.00  caml_open_descriptor_in
  0.00      0.15     0.00        3     0.00     0.00  camlList__chop_1238
  0.00      0.15     0.00        3     0.00     0.00  camlList__length_aux_1008
  0.00      0.15     0.00        3     0.00     0.00  caml_add_to_heap
  0.00      0.15     0.00        3     0.00     0.00  caml_fl_add_blocks
